Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Middle East & North Africa,MEA,..,0.396990636761204,0.485539565712127,0.490398336197215,0.564465221506374,0.591493467072158,0.534095288479347,0.530349307210485,0.445841074360031,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Middle East & North Africa (excluding high income),MNA,..,0.326036676431174,0.397607127096621,0.401563243825353,0.486982426321125,0.519198698524619,0.453217481877798,0.449997906881832,0.371248473539807,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Middle East & North Africa (IDA & IBRD countries),TMN,..,0.326036676431174,0.397607127096621,0.401563243825353,0.486982426321125,0.519198698524619,0.453217481877798,0.449997906881832,0.371248473539807,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Middle income,MIC,..,3.39581213495769,5.14569014106773,5.13215511761997,5.04392936601048,4.84078762586662,4.61438335074267,4.61376141780328,3.96202629622737,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,North America,NAC,..,9.08319984574622,9.5197713140048,9.53453693087326,9.55256738929656,9.59170708826313,9.60466584828614,9.60495012468523,9.89894112141435,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,OECD members,OED,..,9.49605342824953,8.6322432811529,8.62983752098996,8.64862855748527,8.64767259268232,8.64917711041753,8.64031127660955,8.32998771946144,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Other small states,OSS,..,5.89780488542385,5.60234800368945,5.68353689939282,5.29487261732167,5.10593349679402,4.94202976023954,5.19400232840004,4.35451483779083,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Pacific island small states,PSS,..,2.08687600838309,2.02588977103895,2.07551012734761,2.11627126493882,2.24963825206894,2.38951072651838,2.38266845792604,2.39267256804188,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Post-demographic dividend,PST,..,10.3350019066165,9.53100226143362,9.4894835275668,9.48371189058049,9.48146110261513,9.47680583022943,9.47921861570192,9.24929728736259,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Pre-demographic dividend,PRE,..,5.38036732983806,4.19875755827972,4.14956448279904,4.0469516936631,3.96615340574889,3.89782289139523,3.90303979633661,3.72330883581968,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Small states,SST,..,5.4069787414864,5.30141973952147,5.38167878011737,5.09902259357513,4.99344498286029,4.90337661634273,5.08582781870313,4.3320517965283,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,South Asia,SAS,..,1.55050189655081,3.89409561258211,3.84954659897893,3.78421592280882,3.78244934191876,3.81770114391436,3.81421313190865,3.18784027152534,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,South Asia (IDA & IBRD),TSA,..,1.55050189655081,3.89409561258211,3.84954659897893,3.78421592280882,3.78244934191876,3.81770114391436,3.81421313190865,3.18784027152534,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Sub-Saharan Africa,SSF,..,5.54816562232913,4.65604072311396,4.63043268929787,4.54518853975647,4.4920371530265,4.47033002795174,4.46898481777431,4.16169872544779,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Sub-Saharan Africa (excluding high income),SSA,..,5.54787284017206,4.65527324981888,4.62949672724209,4.54416795373013,4.49106780686195,4.46943069928017,4.4681037425301,4.16100680463791,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,5.54816562232913,4.65604072311396,4.63043268929787,4.54518853975647,4.4920371530265,4.47033002795174,4.46898481777431,4.16169872544779,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,Upper middle income,UMC,..,4.16430687893773,6.02657584153245,6.02639563709788,5.90756260640486,5.53013081388334,5.08109995649311,5.08338456798328,4.35846913197515,..,..,..
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,World,WLD,..,5.1065234177601,5.93226259012669,5.89618815068919,5.80519538635943,5.63292585326208,5.44813454876472,5.43575216868539,4.89898977169752,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 10/24/2024,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,General comments,License URL
SH.ALC.PCAP.LI,CC BY-4.0,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Total alcohol per capita consumption is defined as the total (sum of recorded and unrecorded alcohol) amount of alcohol consumed per person (15 years of age or older) over a calendar year, in litres of pure alcohol, adjusted for tourist consumption.","World Health Organization, Global Health Observatory Data Repository (http://apps.who.int/ghodata/).",Health: Risk factors,Annual,Weighted average,The estimates for the total alcohol consumption are produced by summing up the 3-year average per capita (15+) recorded alcohol consumption and an estimate of per capita (15+) unrecorded alcohol consumption for a calendar year. Tourist consumption takes into account tourists visiting the country and inhabitants visiting other countries.,"Acoording to the World Health Organization, alcohol consumption is a causal factor in more than 200 disease and injury conditions. In the world, an estimated 3 million deaths are from harmful use of alcohols every year.   Drinking alcohol is associated with a risk of developing health problems such as mental and behavioural disorders, including alcohol dependence, major noncommunicable diseases such as liver cirrhosis, some cancers and cardiovascular diseases, as well as injuries resulting from violence and road clashes and collisions.",This is the Sustainable Development Goal indicator 3.5.2[https://unstats.un.org/sdgs/metadata/].,https://datacatalog.worldbank.org/public-licenses#cc-by
