pk-d--flex,pk-identifier,pk-identifier (2),ag-cell-value,ag-cell-value (2),ag-cell-value (3),ag-cell-value (4),ag-cell-value (5),ag-cell-value (6),ag-cell-value (7)
101,Djurgården,Sweden,-,2.000,-,13.000,1.500,16.500,4.300
102,Sivasspor,Türkiye,-,4.000,2.500,10.000,-,16.500,7.720
103,Genk,Belgium,5.000,-,4.000,-,7.000,16.000,9.760
104,Lokomotiv Moskva,Russia,6.000,7.000,3.000,-,-,16.000,4.593
105,Sturm Graz,Austria,1.500,-,3.000,6.000,4.000,14.500,6.520
106,APOEL,Cyprus,7.000,2.500,-,2.500,2.500,14.500,4.420
107,Anderlecht,Belgium,-,-,2.500,12.000,-,14.500,9.760
108,Spartak Moskva,Russia,2.500,-,12.000,-,-,14.500,4.593
109,SK Rapid,Austria,-,5.000,4.000,2.500,2.500,14.000,6.520
110,Krasnodar,Russia,6.000,8.000,-,-,-,14.000,4.593
